pathway_description	pathway_genes	pathway_ids	pathway_names
['  3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-Co', '  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme']	['PAS_chr2-1_0191', 'PAS_chr1-4_0304']	ppa00072	Synthesis and degradation of ketone bodies
['  Farnesyl-diphosphate farnesyl transferase (squalene synthase)', '  Squalene epoxidase, catalyzes the epoxidation of squalene to 2,3-oxidosqualene', '  Lanosterol synthase, an essential enzyme that catalyzes the cyclization of squalene 2,3-epoxide', '  Lanosterol 14-alpha-demethylase, catalyzes the C-14 demethylation of lanosterol', '  C-14 sterol reductase, acts in ergosterol biosynthesis', '  C-4 methyl sterol oxidase, catalyzes the first of three steps required to remove two C-4 methyl grou', '  C-3 sterol dehydrogenase', '  3-keto sterol reductase', '  C-5 sterol desaturase, catalyzes the introduction of a C-5(6) double bond into episterol', '  Steryl ester hydrolase', '  Triacylglycerol lipase involved in triacylglycerol mobilization and degradation', '  Acyl-CoA:sterol acyltransferase, isozyme of Are1p', '  Delta(24)-sterol C-methyltransferase', '  C-8 sterol isomerase', '  C-22 sterol desaturase', '  C-24(28) sterol reductase, catalyzes the final step in ergosterol biosynthesis']	['PAS_chr3_0317', 'PAS_chr3_0124', 'PAS_chr2-1_0391', 'PAS_chr3_0957', 'PAS_chr1-1_0411', 'PAS_chr3_0053', 'PAS_chr1-4_0604', 'PAS_chr2-1_0628', 'PAS_chr1-4_0367', 'PAS_chr3_0252', 'PAS_chr2-1_0466', 'PAS_chr3_0467', 'PAS_chr3_0371', 'PAS_chr4_0198', 'PAS_chr3_0507', 'PAS_chr4_0063']	ppa00100	Steroid biosynthesis
['  Aromatic aminotransferase I, expression is regulated by general control of amino acid biosynthesis', '  Para hydroxybenzoate: polyprenyl transferase', '  O-methyltransferase, catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynth', '  Putative flavin-dependent monooxygenase, involved in ubiquinone (Coenzyme Q) biosynthesis', '  2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase', '  Protein required for the ubiquinone (Coenzyme Q) biosynthesis', '  Protein with similarity to members of a family of flavodoxin-like proteins', '  hypothetical protein']	['PAS_chr1-4_0608', 'PAS_chr3_0291', 'PAS_chr3_0169', 'PAS_chr2-2_0303', 'PAS_chr2-1_0763', 'PAS_chr1-1_0169', 'PAS_chr1-1_0449', 'PAS_chr4_0335']	ppa00130	Ubiquinone and other terpenoid-quinone biosynthesis
"['  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  NADH-ubiquinone oxidoreductase', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  Mitochondrial matrix acyl carrier protein, involved in biosynthesis of octanoate', '  hypothetical protein', '  hypothetical protein', '  hypothetical protein', '  Mitochondrial external NADH dehydrogenase, a type II NAD(P)H:quinone oxidoreductase', '  Flavoprotein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  Iron-sulfur protein subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  hypothetical protein', '  Membrane anchor subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  Membrane anchor subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p)', '  hypothetical protein', '  Cytochrome c1, component of the mitochondrial respiratory chain', '  Core subunit of the ubiquinol-cytochrome c reductase complex (bc1 complex)', '  Subunit 2 of the ubiquinol cytochrome-c reductase complex', '  hypothetical protein', '  Subunit 7 of the ubiquinol cytochrome-c reductase complex', '  Subunit 8 of ubiquinol cytochrome-c reductase complex', '  hypothetical protein', '  hypothetical protein', '  Heme A:farnesyltransferase', '  Subunit Va of cytochrome c oxidase', '  hypothetical protein', '  Subunit VI of cytochrome c oxidase', '  Subunit IV of cytochrome c oxidase', '  Subunit VIa of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membran', '  Subunit VIb of cytochrome c oxidase', '  hypothetical protein', '  hypothetical protein', '  Subunit VIII of cytochrome c oxidase', '  Mitochondrial inner membrane protein required for delivery of copper to the Cox1p subunit of cytochr', '  Protein required for the hydroxylation of heme O to form heme A', '  Cytochrome c oxidase assembly protein/Cu2+ chaperone', '  Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase', '  Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase', '  Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase', '  Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase', '  hypothetical protein', '  Subunit 5 of the stator stalk of mitochondrial F1F0 ATP synthase', '  Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase', '  hypothetical protein', '  mitochondrial ATP synthase', '  Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily cons', '  Subunit g of the mitochondrial F1F0 ATP synthase', '  hypothetical protein', '  Subunit of the mitochondrial F1F0 ATP synthase', '  hypothetical protein', '  Vacuolar ATPase V1 domain subunit A containing the catalytic nucleotide binding sites', '  vacuolar ATP synthase subunit B', '  Subunit C of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase)', '  Subunit D of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase)', '  Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase)', '  Subunit F of the eight-subunit V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase)', '  hypothetical protein', '  hypothetical protein', '  Subunit a of vacuolar-ATPase V0 domain, one of two isoforms (Vph1p and Stv1p)', '  Subunit a of vacuolar-ATPase V0 domain, one of two isoforms (Vph1p and Stv1p)', '  Proteolipid subunit of the vacuolar H(+)-ATPase V0 sector', ""  Vacuolar ATPase V0 domain subunit c', involved in proton transport activity"", '  hypothetical protein', '  Subunit d of the five-subunit V0 integral membrane domain of vacuolar H+-ATPase (V-ATPase)', '  Plasma membrane H+-ATPase, pumps protons out of the cell', '  Cytoplasmic inorganic pyrophosphatase (PPase)', '  Mitochondrial inorganic pyrophosphatase']"	['PAS_chr2-1_0456', 'PAS_chr3_0808', 'PAS_chr4_0120', 'PAS_chr2-2_0366', 'PAS_chr2-2_0235', 'PAS_chr3_0585', 'PAS_chr3_0619', 'PAS_chr2-2_0462', 'PAS_chr2-1_0359', 'PAS_chr1-4_0575', 'PAS_chr1-4_0371', 'PAS_chr4_0535', 'PAS_chr4_0355', 'PAS_chr3_1188', 'PAS_chr3_1119', 'PAS_chr1-1_0172', 'PAS_chr4_0142', 'PAS_chr1-4_0039', 'PAS_chr3_0792', 'PAS_chr4_0733', 'PAS_chr3_1111', 'PAS_chr1-4_0487', 'PAS_chr3_0424', 'PAS_chr2-2_0283', 'PAS_chr2-1_0850', 'PAS_chr3_0997', 'PAS_chr1-1_0099', 'PAS_chr2-2_0430', 'PAS_chr1-1_0217', 'PAS_chr1-1_0322', 'PAS_chr1-4_0313', 'PAS_chr4_0520', 'PAS_chr2-1_0717', 'PAS_chr1-3_0194', 'PAS_chr3_0615', 'PAS_chr1-3_0132', 'PAS_chr3_0824', 'PAS_chr2-1_0361', 'PAS_chr2-1_0363', 'PAS_chr4_0422', 'PAS_chr2-2_0265', 'PAS_chr2-1_0746', 'PAS_chr2-2_0266', 'PAS_chr2-1_0226', 'PAS_chr4_0449', 'PAS_chr3_0745', 'PAS_chr3_0576', 'PAS_chr2-2_0165', 'PAS_chr1-4_0465', 'PAS_chr1-4_0445', 'PAS_chr2-1_0612', 'PAS_chr1-1_0191', 'PAS_chr3_0460', 'PAS_chr1-1_0484', 'PAS_chr4_0892', 'PAS_chr3_0059', 'PAS_chr3_0819', 'PAS_chr2-1_0451', 'PAS_chr2-1_0751', 'PAS_chr3_0161', 'PAS_chr1-1_0309', 'PAS_c131_0021', 'PAS_chr2-1_0246', 'PAS_chr1-1_0195', 'PAS_chr3_0704', 'PAS_chr4_0674', 'PAS_chr4_0255', 'PAS_chr4_0990', 'PAS_chr3_1093', 'PAS_chr1-3_0066', 'PAS_chr3_1040', 'PAS_chr2-1_0687', 'PAS_chr3_1236', 'PAS_chr2-2_0227', 'PAS_chr1-1_0002', 'PAS_chr1-3_0028', 'PAS_chr1-3_0070']	ppa00190	Oxidative phosphorylation
['  Ornithine carbamoyltransferase (carbamoylphosphate:L-ornithine carbamoyltransferase)', '  Arginosuccinate synthetase', '  Argininosuccinate lyase, catalyzes the final step in the arginine biosynthesis pathway', '  Arginase, responsible for arginine degradation', '  Arginase, responsible for arginine degradation', '  Urea amidolyase, contains both urea carboxylase and allophanate hydrolase activities', '  Glutamine synthetase (GS), synthesizes glutamine from glutamate and ammonia', '  NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate', '  NADP(+)-dependent glutamate dehydrogenase', '  hypothetical protein', '  Cytosolic aspartate aminotransferase; involved in nitrogen metabolism', '  Putative alanine transaminase (glutamic pyruvic transaminase)', '  Acetylglutamate synthase (glutamate N-acetyltransferase), mitochondrial enzyme', '  Mitochondrial ornithine acetyltransferase', '  Protein that is processed in the mitochondrion to yield acetylglutamate kinase and N-acetyl-gamma-gl', '  Acetylornithine aminotransferase']	['PAS_chr3_0623', 'PAS_chr3_0216', 'PAS_chr1-1_0389', 'PAS_chr4_0684', 'PAS_chr2-2_0288', 'PAS_chr4_0173', 'PAS_chr4_0785', 'PAS_chr2-1_0311', 'PAS_chr1-1_0107', 'PAS_chr4_0974', 'PAS_chr1-1_0200', 'PAS_chr3_0482', 'PAS_chr1-4_0215', 'PAS_chr3_0176', 'PAS_chr2-1_0168', 'PAS_chr4_0645']	ppa00220	Arginine biosynthesis
"['  Spermidine synthase, involved in biosynthesis of spermidine and also in biosynthesis of pantothenic', '  Phosphoglucomutase', '  Phosphoglucomutase, catalyzes interconversion of glucose-1-phosphate and glucose-6-phospate', '  5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP', '  Ribose-phosphate pyrophosphokinase', '  5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP', '  5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP, which is required for nucleot', '  Phosphoribosylpyrophosphate amidotransferase', ""  Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway"", ""  Phosphoribosyl-glycinamide transformylase, catalyzes a step in the 'de novo' purine nucleotide biosy"", '  Formylglycinamidine-ribonucleotide (FGAM)-synthetase', ""  Phosphoribosylaminoimidazole carboxylase, catalyzes a step in the 'de novo' purine nucleotide biosyn"", '  N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase', ""  Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway"", ""  Enzyme of 'de novo' purine biosynthesis"", '  Adenine phosphoribosyltransferase, catalyzes the formation of AMP', '  Purine nucleoside phosphorylase, specifically metabolizes inosine & guanosine nucleosides', '  Dimeric hypoxanthine-guanine phosphoribosyltransferase', '  Nucleoside diphosphate kinase', '  Apyrase with wide substrate specificity', '  hypothetical protein', '  hypothetical protein', '  GMP synthase, an enzyme that catalyzes the second step in the biosynthesis of GMP from IMP', '  Guanine deaminase, a catabolic enzyme of the guanine salvage pathway', '  Guanylate kinase, converts GMP to GDP', '  Pyruvate kinase', '  One of two large regulatory subunits of ribonucleotide-diphosphate reductase', '  One of two large regulatory subunits of ribonucleotide-diphosphate reductase', '  Small subunit of the ribonucleotide-diphosphate reductase (RNR) complex', '  Exopolyphosphatase, hydrolyzes inorganic polyphosphate (poly P) into Pi residues', '  Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling', '  cyclic AMP phosphodiesterase', '  Low-affinity cyclic AMP phosphodiesterase', '  Adenylosuccinate synthase', '  hypothetical protein', '  Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet)', '  Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP', '  Adenylate kinase', '  Essential NTPase required for small ribosome subunit synthesis', '  Dinucleoside triphosphate hydrolase', ""  Diadenosine 5',5''-P1,P4-tetraphosphate phosphorylase II (AP4A phosphorylase)"", '  Adenylylsulfate kinase, required for sulfate assimilation and involved in methionine metabolism', '  ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation', '  hypothetical protein', '  hypothetical protein', '  allantoinase', '  Allantoicase, converts allantoate to urea and ureidoglycolate', '  Ureidoglycolate hydrolase']"	['PAS_chr2-1_0760', 'PAS_chr1-4_0264', 'PAS_chr2-1_0771', 'PAS_chr2-2_0174', 'PAS_chr1-1_0006', 'PAS_chr1-1_0436', 'PAS_chr3_0062', 'PAS_chr1-1_0430', 'PAS_chr3_0770', 'PAS_chr2-1_0121', 'PAS_chr1-4_0551', 'PAS_chr3_0085', 'PAS_chr1-4_0450', 'PAS_chr2-2_0329', 'PAS_chr2-1_0660', 'PAS_chr3_1138', 'PAS_chr1-1_0132', 'PAS_chr3_0887', 'PAS_chr2-2_0059', 'PAS_chr1-1_0063', 'PAS_chr3_1255', 'PAS_chr2-2_0112', 'PAS_chr1-3_0191', 'PAS_chr1-4_0524', 'PAS_chr2-2_0219', 'PAS_chr2-1_0769', 'PAS_chr1-1_0282', 'PAS_chr2-1_0209', 'PAS_chr4_0197', 'PAS_chr2-1_0101', 'PAS_chr4_0356', 'PAS_FragB_0008', 'PAS_chr1-4_0566', 'PAS_chr4_0613', 'PAS_c121_0009', 'PAS_chr2-2_0162', 'PAS_chr2-1_0111', 'PAS_chr3_0257', 'PAS_chr2-1_0493', 'PAS_chr2-1_0146', 'PAS_chr1-1_0323', 'PAS_chr3_0667', 'PAS_chr1-4_0253', 'PAS_chr2-2_0279', 'PAS_chr1-4_0329', 'PAS_chr1-3_0023', 'PAS_chr2-1_0749', 'PAS_chr2-1_0292']	ppa00230	Purine metabolism
['  hypothetical protein', '  hypothetical protein']	['PAS_chr2-2_0112', 'PAS_chr2-2_0279']	ppa00232	Caffeine metabolism
"['  Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase)', '  Large subunit of carbamoyl phosphate synthetase', '  Small subunit of carbamoyl phosphate synthetase', '  Dihydroorotase, catalyzes the third enzymatic step in the de novo biosynthesis of pyrimidines', '  hypothetical protein', '  hypothetical protein', ""  Orotidine-5'-phosphate (OMP) decarboxylase"", '  Uridylate kinase, catalyzes the seventh enzymatic step in the de novo biosynthesis of pyrimidines', '  Nucleoside diphosphate kinase', '  Apyrase with wide substrate specificity', '  hypothetical protein', '  Uridine/cytidine kinase, component of the pyrimidine ribonucleotide salvage pathway', '  Uridine kinase (Uridine monophosphokinase)', '  Uracil phosphoribosyltransferase, synthesizes UMP from uracil', '  NADP(+)-dependent dehydrogenase', '  Cytosine deaminase, zinc metalloenzyme that catalyzes the hydrolytic deamination of cytosine to urac', '  One of two large regulatory subunits of ribonucleotide-diphosphate reductase', '  One of two large regulatory subunits of ribonucleotide-diphosphate reductase', '  Small subunit of the ribonucleotide-diphosphate reductase (RNR) complex', '  dUTPase, catalyzes hydrolysis of dUTP to dUMP and PPi', '  Thymidylate synthase, required for de novo biosynthesis of pyrimidine deoxyribonucleotides', '  Cytidine deaminase', '  Purine nucleoside phosphorylase, specifically metabolizes inosine & guanosine nucleosides', '  Deoxycytidine monophosphate (dCMP) deaminase required for dCTP and dTTP synthesis', '  Thymidylate and uridylate kinase', '  hypothetical protein']"	['PAS_chr2-2_0142', 'PAS_chr3_0799', 'PAS_chr4_0138', 'PAS_chr2-1_0593', 'PAS_chr2-2_0021', 'PAS_chr3_1197', 'PAS_chr3_0381', 'PAS_chr2-1_0543', 'PAS_chr2-2_0059', 'PAS_chr1-1_0063', 'PAS_chr4_0994', 'PAS_chr2-1_0770', 'PAS_chr1-4_0460', 'PAS_chr1-1_0262', 'PAS_chr3_0349', 'PAS_chr2-1_0047', 'PAS_chr1-1_0282', 'PAS_chr2-1_0209', 'PAS_chr4_0197', 'PAS_chr2-1_0478', 'PAS_chr3_0996', 'PAS_chr3_0726', 'PAS_chr1-1_0132', 'PAS_chr1-1_0163', 'PAS_chr3_0262', 'PAS_chr3_0134']	ppa00240	Pyrimidine metabolism
"['  hypothetical protein', '  Cytosolic aspartate aminotransferase; involved in nitrogen metabolism', '  D-aspartate oxidase', '  Cytosolic L-asparaginase', '  hypothetical protein', '  Asparagine synthetase, isozyme of Asn1p', '  Nit protein, one of two proteins in S. cerevisiae with similarity to the Nit domain', '  Putative alanine transaminase (glutamic pyruvic transaminase)', '  Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate', '  Arginosuccinate synthetase', '  Argininosuccinate lyase, catalyzes the final step in the arginine biosynthesis pathway', '  Adenylosuccinate synthase', ""  Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway"", '  hypothetical protein', '  Glutamate decarboxylase, converts glutamate into gamma-aminobutyric acid (GABA)', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobu', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)', '  NAD(+)-dependent glutamate synthase (GOGAT)', '  NAD(+)-dependent glutamate dehydrogenase, degrades glutamate to ammonia and alpha-ketoglutarate', '  NADP(+)-dependent glutamate dehydrogenase', '  hypothetical protein', '  Glutamine synthetase (GS), synthesizes glutamine from glutamate and ammonia', '  Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase)', '  Large subunit of carbamoyl phosphate synthetase', '  Small subunit of carbamoyl phosphate synthetase', '  Glutamine-fructose-6-phosphate amidotransferase', '  Phosphoribosylpyrophosphate amidotransferase']"	['PAS_chr4_0974', 'PAS_chr1-1_0200', 'PAS_chr3_0406', 'PAS_chr3_0591', 'PAS_chr2-2_0481', 'PAS_chr3_0675', 'PAS_chr3_0743', 'PAS_chr3_0482', 'PAS_chr4_0416', 'PAS_chr3_0216', 'PAS_chr1-1_0389', 'PAS_chr4_0613', 'PAS_chr2-2_0329', 'PAS_chr2-1_0343', 'PAS_chr3_0965', 'PAS_chr2-1_0107', 'PAS_chr4_0677', 'PAS_chr3_1024', 'PAS_chr2-1_0311', 'PAS_chr1-1_0107', 'PAS_chr2-2_0496', 'PAS_chr4_0785', 'PAS_chr2-2_0142', 'PAS_chr3_0799', 'PAS_chr4_0138', 'PAS_chr2-1_0626', 'PAS_chr1-1_0430']	ppa00250	Alanine, aspartate and glutamate metabolism
['  Aspartate kinase (L-aspartate 4-P-transferase)', '  Aspartic beta semi-aldehyde dehydrogenase', '  Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme', '  Homoserine kinase, conserved protein required for threonine biosynthesis', '  Threonine synthase, conserved protein that catalyzes formation of threonine from 0-phosphohomoserine', '  Threonine aldolase', '  Cytosolic serine hydroxymethyltransferase', '  Mitochondrial serine hydroxymethyltransferase', '  Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate', '  Tetrameric phosphoglycerate mutase', '  Tetrameric phosphoglycerate mutase', '  hypothetical protein', '  3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis', '  3-phosphoserine aminotransferase', '  Phosphoserine phosphatase of the phosphoglycerate pathway, involved in serine and glycine biosynthes', '  NADP(+)-dependent dehydrogenase', '  5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway', '  hypothetical protein', '  Peroxisomal primary amine oxidase', '  hypothetical protein', '  Glycine dehydrogenase', '  hypothetical protein', '  Dihydrolipoamide dehydrogenase', '  H subunit of the mitochondrial glycine decarboxylase complex', '  Phosphatidylserine synthase, functions in phospholipid biosynthesis', '  Cystathionine beta-synthase, catalyzes the synthesis of cystathionine from serine and homocysteine', '  Cystathionine gamma-lyase', '  Threonine deaminase, catalyzes the first step in isoleucine biosynthesis', '  Catabolic L-serine (L-threonine) deaminase, catalyzes the degradation of L-serine and L-threonine', '  D-serine dehydratase (aka D-serine ammonia-lyase)', '  Tryptophan synthase involved in tryptophan biosynthesis', '  Tryptophan synthase involved in tryptophan biosynthesis']	['PAS_chr4_0150', 'PAS_chr3_0471', 'PAS_chr1-4_0049', 'PAS_chr3_0899', 'PAS_chr2-1_0269', 'PAS_chr4_0112', 'PAS_chr4_0415', 'PAS_chr4_0587', 'PAS_chr4_0416', 'PAS_chr3_0693', 'PAS_chr3_0826', 'PAS_chr4_0938', 'PAS_chr2-1_0657', 'PAS_chr3_0566', 'PAS_chr4_0285', 'PAS_chr3_0349', 'PAS_chr2-1_0716', 'PAS_chr4_0621', 'PAS_chr1-4_0441', 'PAS_chr2-1_0307', 'PAS_FragB_0053', 'PAS_chr2-2_0492', 'PAS_chr2-2_0048', 'PAS_FragB_0009', 'PAS_chr1-1_0420', 'PAS_chr2-2_0137', 'PAS_chr1-4_0489', 'PAS_chr1-4_0243', 'PAS_chr2-2_0408', 'PAS_chr3_0186', 'PAS_chr2-1_0679', 'PAS_chr3_0634']	ppa00260	Glycine, serine and threonine metabolism
['  ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation', '  Aspartate kinase (L-aspartate 4-P-transferase)', '  Aspartic beta semi-aldehyde dehydrogenase']	['PAS_chr1-4_0253', 'PAS_chr4_0150', 'PAS_chr3_0471']	ppa00261	Monobactam biosynthesis
['  hypothetical protein', '  Putative cysteine synthase, localized to the mitochondrial outer membrane', '  Methionine and cysteine synthase (O-acetyl homoserine-O-acetyl serine sulfhydrylase)', '  Cystathionine gamma-lyase', '  Cystathionine beta-lyase, converts cystathionine into homocysteine', '  Cystathionine beta-synthase, catalyzes the synthesis of cystathionine from serine and homocysteine', '  S-adenosylmethionine-homocysteine methyltransferase', '  Cobalamin-independent methionine synthase, involved in amino acid biosynthesis', '  S-adenosylmethionine synthetase', '  S-adenosylmethionine decarboxylase, required for the biosynthesis of spermidine and spermine', '  hypothetical protein', '  Spermine synthase, required for the biosynthesis of spermine', '  Methylthioribose-1-phosphate isomerase', '  Putative methylthio-ribulose-1-phosphate dehydratase', '  Protein with sequence similarity to 2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatases', '  Acireductone dioxygenease involved in the methionine salvage pathway', '  Aromatic aminotransferase I, expression is regulated by general control of amino acid biosynthesis', '  S-adenosyl-L-homocysteine hydrolase', '  Aspartate kinase (L-aspartate 4-P-transferase)', '  Aspartic beta semi-aldehyde dehydrogenase', '  Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase), dimeric enzyme', '  L-homoserine-O-acetyltransferase, catalyzes the conversion of homoserine to O-acetyl homoserine', '  Cystathionine gamma-synthase, converts cysteine into cystathionine', '  Mitochondrial branched-chain amino acid aminotransferase, homolog of murine ECA39', '  Gamma glutamylcysteine synthetase catalyzes the first step in glutathione (GSH) biosynthesis', '  Glutathione synthetase', '  hypothetical protein', '  hypothetical protein', '  Cytosolic aspartate aminotransferase; involved in nitrogen metabolism', '  Putative protein of unknown function with similarity to human thiosulfate sulfurtransferase', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Mitochondrial malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate', '  Catabolic L-serine (L-threonine) deaminase, catalyzes the degradation of L-serine and L-threonine', '  3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis', '  3-phosphoserine aminotransferase', '  Putative protein of unknown function']	['PAS_chr2-1_0862', 'PAS_chr1-3_0273', 'PAS_chr4_0330', 'PAS_chr1-4_0489', 'PAS_chr2-1_0358', 'PAS_chr2-2_0137', 'PAS_chr4_0664', 'PAS_chr2-1_0160', 'PAS_chr3_0876', 'PAS_chr2-1_0202', 'PAS_chr2-1_0885', 'PAS_chr4_0648', 'PAS_chr1-4_0545', 'PAS_chr4_0280', 'PAS_chr2-2_0446', 'PAS_chr2-1_0422', 'PAS_chr1-4_0608', 'PAS_chr3_0890', 'PAS_chr4_0150', 'PAS_chr3_0471', 'PAS_chr1-4_0049', 'PAS_chr4_0865', 'PAS_chr2-1_0752', 'PAS_chr4_0248', 'PAS_chr1-1_0184', 'PAS_chr1-4_0496', 'PAS_chr2-2_0322', 'PAS_chr4_0974', 'PAS_chr1-1_0200', 'PAS_chr2-1_0698', 'PAS_chr2-1_0238', 'PAS_chr4_0815', 'PAS_chr2-2_0408', 'PAS_chr2-1_0657', 'PAS_chr3_0566', 'PAS_chr3_0404']	ppa00270	Cysteine and methionine metabolism
['  Mitochondrial branched-chain amino acid aminotransferase, homolog of murine ECA39', '  Dihydrolipoamide dehydrogenase', '  3-ketoacyl-CoA thiolase with broad chain length specificity', '  3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases', '  Mitochondrial aldehyde dehydrogenase', '  hypothetical protein', '  Putative fatty aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Mitochondrial aldehyde dehydrogenase', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase) involved in the 4-aminobu', '  Gamma-aminobutyrate (GABA) transaminase (4-aminobutyrate aminotransferase)', '  Acetyl-CoA C-acetyltransferase (acetoacetyl-CoA thiolase), cytosolic enzyme', '  3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase, catalyzes the formation of HMG-CoA from acetyl-Co']	['PAS_chr4_0248', 'PAS_chr2-2_0048', 'PAS_chr2-2_0267', 'PAS_chr3_0937', 'PAS_chr4_0470', 'PAS_chr2-1_0853', 'PAS_chr1-4_0064', 'PAS_chr3_0987', 'PAS_chr4_0043', 'PAS_chr2-1_0107', 'PAS_chr4_0677', 'PAS_chr1-4_0304', 'PAS_chr2-1_0191']	ppa00280	Valine, leucine and isoleucine degradation
['  Threonine deaminase, catalyzes the first step in isoleucine biosynthesis', '  Catabolic L-serine (L-threonine) deaminase, catalyzes the degradation of L-serine and L-threonine', '  Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway', '  Beta-isopropylmalate dehydrogenase (IMDH), catalyzes the third step in the leucine biosynthesis path', '  Acetolactate synthase, catalyses the first common step in isoleucine and valine biosynthesis', '  hypothetical protein', '  Acetohydroxyacid reductoisomerase', '  Dihydroxyacid dehydratase', '  Mitochondrial branched-chain amino acid aminotransferase, homolog of murine ECA39', '  Alpha-isopropylmalate synthase (2-isopropylmalate synthase)']	['PAS_chr1-4_0243', 'PAS_chr2-2_0408', 'PAS_chr2-1_0368', 'PAS_chr3_0039', 'PAS_chr4_0228', 'PAS_chr2-1_0864', 'PAS_chr1-1_0432', 'PAS_chr1-4_0458', 'PAS_chr4_0248', 'PAS_chr2-1_0415']	ppa00290	Valine, leucine and isoleucine biosynthesis
